,scores,avg_rwds
540,25.0,14.39
541,18.0,14.3
542,19.0,14.28
543,10.0,14.28
544,12.0,14.32
545,16.0,14.36
546,14.0,14.38
547,16.0,14.43
548,13.0,14.38
549,14.0,14.38
550,8.0,14.41
551,17.0,14.53
552,10.0,14.43
553,15.0,14.5
554,18.0,14.5
555,10.0,14.43
556,16.0,14.47
557,11.0,14.47
558,19.0,14.42
559,15.0,14.31
560,13.0,14.34
561,15.0,14.43
562,16.0,14.42
563,18.0,14.4
564,11.0,14.42
565,16.0,14.47
566,13.0,14.48
567,15.0,14.49
568,7.0,14.52
569,13.0,14.63
570,14.0,14.72
571,9.0,14.73
572,19.0,14.7
573,17.0,14.59
574,13.0,14.62
575,7.0,14.63
576,15.0,14.8
577,18.0,14.81
578,16.0,14.83
579,10.0,14.81
580,12.0,14.88
581,18.0,14.77
582,19.0,14.68
583,13.0,14.64
584,14.0,14.62
585,16.0,14.64
586,17.0,14.61
587,16.0,14.55
588,17.0,14.52
589,3.0,14.48
590,9.0,14.63
591,15.0,14.68
592,13.0,14.66
593,15.0,14.68
594,15.0,14.68
595,11.0,14.72
596,14.0,14.76
597,11.0,14.77
598,7.0,14.82
599,19.0,14.88
600,15.0,14.8
601,10.0,14.83
602,13.0,14.85
603,14.0,14.83
604,12.0,14.76
605,15.0,14.74
606,19.0,14.73
607,12.0,14.69
608,13.0,14.68
609,21.0,14.7
610,17.0,14.65
611,15.0,14.56
612,18.0,14.57
613,19.0,14.49
614,12.0,14.41
615,20.0,14.4
616,15.0,14.39
617,9.0,14.42
618,21.0,14.52
619,19.0,14.46
620,10.0,14.4
621,18.0,14.42
622,10.0,14.37
623,13.0,14.4
624,8.0,14.44
625,23.0,14.48
626,11.0,14.4
627,12.0,14.39
628,15.0,14.4
629,18.0,14.39
630,15.0,14.36
631,12.0,14.35
632,13.0,14.37
633,22.0,14.41
634,12.0,14.3
635,16.0,14.35
636,11.0,14.31
637,15.0,14.33
638,17.0,14.33
639,14.0,14.33
640,16.0,14.27
641,16.0,14.21
642,19.0,14.24
643,14.0,14.23
644,16.0,14.22
645,18.0,14.17
646,19.0,14.14
647,11.0,14.12
648,13.0,14.15
649,17.0,14.2
650,20.0,14.11
651,7.0,14.07
652,17.0,14.16
653,15.0,14.19
654,11.0,14.12
655,14.0,14.17
656,16.0,14.23
657,6.0,14.23
658,8.0,14.3
659,18.0,14.41
660,22.0,14.38
661,14.0,14.37
662,14.0,14.41
663,20.0,14.42
664,16.0,14.4
665,17.0,14.38
666,14.0,14.4
667,18.0,14.44
668,18.0,14.45
669,22.0,14.41
670,15.0,14.31
671,6.0,14.35
672,8.0,14.44
673,20.0,14.51
674,14.0,14.44
675,24.0,14.49
676,16.0,14.38
677,20.0,14.36
678,14.0,14.24
679,17.0,14.29
680,1.0,14.29
681,9.0,14.46
682,15.0,14.53
683,11.0,14.51
684,16.0,14.56
685,13.0,14.55
686,11.0,14.6
687,13.0,14.69
688,13.0,14.76
689,18.0,14.8
690,14.0,14.7
691,13.0,14.67
692,15.0,14.72
693,15.0,14.74
694,19.0,14.69
695,15.0,14.63
696,15.0,14.65
697,16.0,14.65
698,13.0,14.55
699,11.0,14.59
